,Compound,Date,Negative,Neutral,News Channel,Positive,Tweet Text,Tweets Ago
102,0.0,Fri Sep 28 17:52:41 +0000 2018,1.0,0.0,@CBS,0.0,"If you haven't seen @SEALTeamCBS, make it your mission to know them before the #SEALTeam Season 2 premiere October… https://t.co/NhCPI3lZSV",3
103,0.0,Fri Sep 28 16:51:50 +0000 2018,1.0,0.0,@CBS,0.0,"⚡️ “Murphy Brown Returns to CBS”

https://t.co/3vsAg7WcB1",4
104,0.0,Thu Sep 27 20:19:18 +0000 2018,1.0,0.0,@CBS,0.0,.@TheNeighborhood's @iamgreenfield revealing his Fiddler on the Roof goals on @latelateshow will be the earworm you… https://t.co/swbh8HPwA1,5
105,0.0,Thu Sep 27 20:01:53 +0000 2018,1.0,0.0,@CBS,0.0,RT @MurphyBrownCBS: A moment 20 years in the making all comes down to this. #MurphyBrown returns to @CBS tonight! https://t.co/tWSMFM3YbG,6
106,0.0,Thu Sep 27 17:19:16 +0000 2018,1.0,0.0,@CBS,0.0,"Candice Bergen tells @colbertlateshow the presidential way tonight's @MurphyBrownCBS premiere imitates life, albeit… https://t.co/4Kbk8gt6nS",7
107,-0.34,Thu Sep 27 16:58:08 +0000 2018,0.581,0.25,@CBS,0.169,@marlagardner222 @jay_hernandez Good idea. The theme song is a dead giveaway. 😉,8
108,0.0,Thu Sep 27 00:44:13 +0000 2018,1.0,0.0,@CBS,0.0,@queenmama7777 @CBSAllAccess We believe in you! https://t.co/ZK0xaPRxVr,9
109,0.0,Thu Sep 27 00:42:15 +0000 2018,1.0,0.0,@CBS,0.0,@BSkyjackcity @jokersupdates @CBSAllAccess On it. https://t.co/yxKX9ry7fw,10
110,0.1139,Wed Sep 26 21:49:27 +0000 2018,0.929,0.0,@CBS,0.071,Sixteen houseguests entered and now it's down to the Final 3. Don't miss a second of the 90-minute #BB20Finale toni… https://t.co/KwDHR9Hfqu,11
111,0.6249,Wed Sep 26 19:57:54 +0000 2018,0.779,0.0,@CBS,0.221,"The tribe has spoken, and they do a pretty decent @JeffProbst impression just in time for the @survivorcbs Season P… https://t.co/2Ps8VKblay",12
112,0.0,Wed Sep 26 17:25:43 +0000 2018,1.0,0.0,@CBS,0.0,"⚡️ “FBI Premieres on CBS”

https://t.co/faL6iHZc5g",13
113,-0.2714,Tue Sep 25 21:10:56 +0000 2018,0.764,0.138,@CBS,0.098,"RT @CBSAllAccess: A night of crime dramas?! Oh yes. 🙌 Stream @NCIS_CBS, @FBICBS &amp; @NCISNewOrleans starting at 8/7c on CBS All Access: https…",14
114,-0.2263,Tue Sep 25 20:31:45 +0000 2018,0.909,0.091,@CBS,0.0,"Before @FBICBS premieres tonight, @mperegrym stopped by @CBSThisMorning to talk about her role as an FBI agent in t… https://t.co/CPVki4Hv8y",15
115,0.0,Tue Sep 25 19:54:26 +0000 2018,1.0,0.0,@CBS,0.0,RT @CBSAllAccess: 🚨 @PatrickBrammall. Tim Meadows. @jessicaalba. @iamgreenfield. @AHWAmySedaris. @ChrisGethard. @JoeManganiello. AND SO MAN…,16
116,0.7901,Tue Sep 25 19:45:33 +0000 2018,0.709,0.0,@CBS,0.291,RT @bigbangtheory: Happy #NationalComicBookDay from Sheldon and his many shirts! How are you sporting your favorite superhero today? #BigBa…,17
117,0.0,Tue Sep 25 18:34:26 +0000 2018,1.0,0.0,@CBS,0.0,"⚡️ “Magnum P.I. Premieres on CBS”

https://t.co/UtbQlcDG8S",18
118,0.0,Tue Sep 25 18:05:31 +0000 2018,1.0,0.0,@CBS,0.0,".@jay_hernandez went on @latelateshow to talk about @MagnumPICBS, but he may have gotten @TiffanyHaddish as a surf… https://t.co/a3acRu10aw",19
119,0.0,Mon Sep 24 18:56:15 +0000 2018,1.0,0.0,@CBS,0.0,"RT @60Minutes: 60 Minutes turns 50 today. Tick, tick, tick ... https://t.co/3CVKEs9J7F",20
120,-0.2263,Sun Sep 23 23:24:03 +0000 2018,0.913,0.087,@CBS,0.0,"Due to #NFL football game overrun, #CBS Sunday lineup is delayed in ATL, Indy, NOLA, Kansas City, NYC, Philly, Prov… https://t.co/fejqoxtvSY",21
121,0.0,Sun Sep 23 14:00:00 +0000 2018,1.0,0.0,@CBS,0.0,Kick off your Sunday with @NFL on CBS. Catch your local games live on CBS and @CBSAllAccess. 🏈📺… https://t.co/kbo7N27mY9,22
122,0.296,Fri Sep 21 19:18:00 +0000 2018,0.758,0.098,@CBS,0.144,"How does $100,000 sound? Because someone is going to win all that tonight on the @TKOCBS Battle Royale finale at 9p… https://t.co/JEuUZ2QlQh",23
123,-0.1531,Fri Sep 21 17:46:26 +0000 2018,0.714,0.162,@CBS,0.123,@colbertlateshow @IainLoveTheatre @IainLoveTheatre made a compelling argument. We'll get back to you. 😉,24
124,0.296,Thu Sep 20 23:17:19 +0000 2018,0.891,0.0,@CBS,0.109,"Now that @bigbangtheory is entering its last season, Kaley Cuoco admits to @latelateshow she's over the show's noto… https://t.co/xvhlMWBhSX",25
125,0.7896,Thu Sep 20 21:38:21 +0000 2018,0.788,0.0,@CBS,0.212,RT @HawaiiFive0CBS: It’s the big Five-0! 🎉 🌊 #H50 premiered on this day in 1968! Celebrate 50 years of Hawaii Five-0 with every season of b…,26
126,0.0,Thu Sep 20 16:47:26 +0000 2018,1.0,0.0,@CBS,0.0,RT @JordanPeele: 📺🌀 https://t.co/CygbVi4JFC,27
